2024-11-24 13:50:30: === Новая сессия трекера ===
2024-11-24 13:50:48: Нажата клавиша: 'l' (код: 108)
2024-11-24 13:50:48: Нажата клавиша: 'k' (код: 107)
2024-11-24 13:50:48: Нажата клавиша: 'd' (код: 100)
2024-11-24 13:50:48: Нажата клавиша: 'j' (код: 106)
2024-11-24 13:50:48: Нажата клавиша: 'b' (код: 98)
2024-11-24 13:50:48: Нажата клавиша: 'j' (код: 106)
2024-11-24 13:50:48: Нажата клавиша: 's' (код: 115)
2024-11-24 13:50:49: Нажата клавиша: 'd' (код: 100)
2024-11-24 13:50:49: Нажата клавиша: 'b' (код: 98)
2024-11-24 13:50:49: Нажата клавиша: 'f' (код: 102)
2024-11-24 13:50:49: Нажата клавиша: 'j' (код: 106)
2024-11-24 13:50:49: Нажата клавиша: 'k' (код: 107)
2024-11-24 13:50:49: Нажата клавиша: 'b' (код: 98)
2024-11-24 13:50:49: Нажата клавиша: 's' (код: 115)
2024-11-24 13:56:11: Нажата клавиша: 'q' (код: 113)
2024-11-24 13:56:11: Нажата клавиша: 'x' (код: 120)
2024-11-24 13:56:11: Обнаружена комбинация для выхода (q + x)
2024-11-24 13:56:11: === Сессия завершена ===
